#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 5.0800082926115495E+00    1.4975117924110232E-01    7.6522784844075827E+17    3.5913165329224022E+10    6.5914471806722679E+02    4.9270498241202354E+12    4.9482222910080444E+11    3.2030866200666934E+12    6.7206091722378945E+08    6.8770744695511169E+10    1.0079527190145869E+15    9.3299162284267271E+08    1.8615269047784696E+09    7.4748034363825216E+17    9.1354457102596989E+00    1.2006538319773474E+10    2.1989699167191343E+09    7.6284613811722726E+17    2.8245223793571564E+10
 5.3229450031671295E+00    1.3957163346203350E-01    7.6522784948057382E+17    5.3118983483534920E+10    7.5791620512520853E+02    6.6712762367838076E+12    9.8759530829669153E+11    3.5774209111765586E+12    7.5401966489078867E+08    1.3918803969264206E+11    2.6886203964641730E+15    1.0508587471993870E+09    3.7848319040935683E+09    7.6122813098120166E+17    1.0182379424044935E+01    1.1686545633590256E+10    2.4166970149795270E+09    7.6146468291933734E+17    3.0177861673878529E+10
 5.6114818369213078E+00    1.2881400743002261E-01    7.6522785053125018E+17    8.4388672484230423E+10    8.8821216842514514E+02    9.4497557718177930E+12    2.3692942664167285E+12    4.0796415700161948E+12    8.5954829532623589E+08    3.2596361298518689E+11    8.4245491641802100E+15    1.2022602275515823E+09    9.1380071863151627E+09    7.6456435528935859E+17    1.1534758458511206E+01    1.1293788244313898E+10    2.7023271369864902E+09    7.5909123919862054E+17    3.2502997613975933E+10
 5.9138001295782496E+00    1.1885050869252228E-01    7.6522785147667981E+17    1.3663280534764400E+11    1.0415111296852274E+03    1.3550163463183664E+13    6.1932677521756924E+12    8.9617726309811255E+11    9.8053247899722946E+08    8.0112147997731531E+11    2.7762159888782956E+16    1.3745037012607048E+09    2.3854136096517902E+10    7.6513006828399757E+17    1.3084480821265847E+01    1.0864134011320501E+10    3.0368120935439339E+09    7.5545255146593293E+17    3.4965889224333237E+10
 6.2190305866565811E+00    1.0993640214050955E-01    7.6522785230989709E+17    2.2136503981463278E+11    1.2154288423598423E+03    1.9673050602388609E+13    1.6572155466671633E+13    1.0056064728303704E+12    1.1143759442227457E+09    1.9897364143489641E+12    8.9106495319557744E+16    1.5623488674773693E+09    6.4550595829758865E+10    7.6521420540756467E+17    1.4790022304342122E+01    1.0413389854908453E+10    3.4149065265423222E+09    7.5027148045487667E+17    3.7468719501857697E+10
 6.5807763359335505E+00    1.0062313430761943E-01    7.6522785317418726E+17    3.8993138220997107E+11    1.4484196424541251E+03    3.1970923815821793E+13    5.0079553309854773E+13    1.1501702900687886E+12    1.2891291280168111E+09    5.8339560765932012E+12    2.8589203225372464E+17    1.8016414423323541E+09    2.1391698036701648E+11    7.6522658338971853E+17    1.6991361836492249E+01    9.8641493163516998E+09    3.9201330542797294E+09    7.4161604960772698E+17    4.0435922720732361E+10
 6.9066210809045980E+00    9.3210253508054688E-02    7.6522785386271450E+17    6.4584306135560828E+11    1.6858028304420748E+03    5.4285067703332461E+13    1.1472794458180656E+14    1.3386636238357366E+12    1.4630388499896972E+09    1.5305645308836191E+13    5.3680387881233933E+17    2.0313321375444412E+09    6.2911711907100537E+11    7.6522770753656282E+17    1.9199647866299909E+01    9.3648423390956707E+09    4.4349266127445850E+09    7.3103072987996915E+17    4.3101264166527855E+10
 7.2182564521962247E+00    8.6858671528765627E-02    7.6522785445599386E+17    1.0412518376994120E+12    1.9389747271986755E+03    1.0323697532105070E+14    2.0404337910122353E+14    1.5106949226785583E+12    1.6450502820451443E+09    3.8280021645659648E+13    6.8611638793094579E+17    2.2611316578128948E+09    1.7339115721487483E+12    7.6522783577799078E+17    2.1401089913662595E+01    8.8906284095300598E+09    4.9853631161298628E+09    7.1802345623443763E+17    4.5633412906206459E+10
 7.5299436717564587E+00    8.1127522722696216E-02    7.6522785499600038E+17    1.6710017042614148E+12    2.2191270671158618E+03    2.3123168613168541E+14    3.0339303959839212E+14    1.6977513366793047E+12    1.8433233840594146E+09    9.5168976598078031E+13    7.4159646952198758E+17    2.4977166537128291E+09    4.6317011115864492E+12    7.6522785251609344E+17    2.3729595874152967E+01    8.4256833649747372E+09    5.5974346840768461E+09    7.0187584388978586E+17    4.8142247317837410E+10
 7.9088544601225461E+00    7.4882995578171227E-02    7.6522785559193869E+17    2.9512630004457505E+12    2.5970323910635061E+03    7.4933818540006838E+14    4.3195156931642975E+14    1.9400879819132080E+12    2.1069986486509728E+09    2.8541169827236369E+14    7.5994679719194560E+17    2.7882679910103717E+09    1.4470790523785768E+13    7.6522785535821568E+17    2.6707225660631487E+01    7.8796203506943159E+09    6.4297978315161457E+09    6.7769786442711501E+17    5.1151595036406555E+10
